file,brisque_hazy,brisque_dcp,delta
01_outdoor_hazy.jpg,28.07781982421875,21.31561279296875,6.76220703125
02_outdoor_hazy.jpg,22.40447998046875,17.52264404296875,4.8818359375
03_outdoor_hazy.JPG,17.15838623046875,11.73895263671875,5.41943359375
04_outdoor_hazy.jpg,22.45819091796875,13.92547607421875,8.53271484375
05_outdoor_hazy.jpg,20.29217529296875,10.23699951171875,10.05517578125
06_outdoor_hazy.jpg,21.75897216796875,15.58123779296875,6.177734375
07_outdoor_hazy.jpg,22.03143310546875,15.63104248046875,6.400390625
08_outdoor_hazy.jpg,27.21160888671875,11.54315185546875,15.66845703125
09_outdoor_hazy.jpg,21.90985107421875,11.50799560546875,10.40185546875
10_outdoor_hazy.jpg,21.49090576171875,14.13397216796875,7.35693359375
11_outdoor_hazy.jpg,15.81219482421875,21.11932373046875,-5.30712890625
12_outdoor_hazy.jpg,23.69549560546875,21.56805419921875,2.12744140625
13_outdoor_hazy.jpg,27.39959716796875,19.87518310546875,7.5244140625
14_outdoor_hazy.jpg,25.36932373046875,18.34930419921875,7.02001953125
15_outdoor_hazy.jpg,22.81610107421875,14.87322998046875,7.94287109375
16_outdoor_hazy.jpg,21.46600341796875,15.72576904296875,5.740234375
17_outdoor_hazy.jpg,21.04754638671875,17.45281982421875,3.5947265625
18_outdoor_hazy.jpg,20.57049560546875,17.17401123046875,3.396484375
19_outdoor_hazy.jpg,23.13201904296875,17.61834716796875,5.513671875
20_outdoor_hazy.jpg,20.73455810546875,18.59735107421875,2.13720703125
21_outdoor_hazy.JPG,21.59783935546875,15.75799560546875,5.83984375
22_outdoor_hazy.jpg,20.97869873046875,19.86639404296875,1.1123046875
23_outdoor_hazy.jpg,23.61199951171875,21.52459716796875,2.08740234375
24_outdoor_hazy.jpg,27.08953857421875,18.24822998046875,8.84130859375
25_outdoor_hazy.jpg,23.74774169921875,10.86981201171875,12.8779296875
26_outdoor_hazy.jpg,33.50653076171875,17.33319091796875,16.17333984375
27_outdoor_hazy.jpg,22.12811279296875,14.55633544921875,7.57177734375
28_outdoor_hazy.jpg,25.08660888671875,9.18817138671875,15.8984375
29_outdoor_hazy.jpg,30.05926513671875,11.27606201171875,18.783203125
30_outdoor_hazy.jpg,21.48944091796875,18.39666748046875,3.0927734375
31_outdoor_hazy.jpg,26.48358154296875,21.77459716796875,4.708984375
32_outdoor_hazy.jpg,21.48553466796875,18.11346435546875,3.3720703125
33_outdoor_hazy.jpg,25.22576904296875,14.40594482421875,10.81982421875
34_outdoor_hazy.jpg,20.37274169921875,18.06365966796875,2.30908203125
35_outdoor_hazy.jpg,23.70574951171875,20.75994873046875,2.94580078125
36_outdoor_hazy.jpg,22.19012451171875,15.90057373046875,6.28955078125
37_outdoor_hazy.jpg,18.28436279296875,17.87518310546875,0.4091796875
38_outdoor_hazy.jpg,28.94403076171875,24.37860107421875,4.5654296875
39_outdoor_hazy.jpg,20.59881591796875,14.68280029296875,5.916015625
40_outdoor_hazy.jpg,22.64666748046875,9.99725341796875,12.6494140625
41_outdoor_hazy.jpg,24.77801513671875,17.63739013671875,7.140625
42_outdoor_hazy.jpg,22.99774169921875,11.44305419921875,11.5546875
43_outdoor_hazy.jpg,17.95428466796875,11.42547607421875,6.52880859375
44_outdoor_hazy.jpg,17.19842529296875,16.20330810546875,0.9951171875
45_outdoor_hazy.jpg,24.70428466796875,14.23211669921875,10.47216796875
